Time,ZN_1_FLR_1_SEC_1::Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1::Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2::Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2::Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3::Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3::Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4::Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4::Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5::Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5::Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
08:30:00,0.000000E+00,5.290383E+03,0.000000E+00,4.480728E-01,0.000000E+00,5.843934E+03,0.000000E+00,4.922024E-01,0.000000E+00,5.567873E+03,0.000000E+00,4.699850E-01,0.000000E+00,4.996418E+03,0.000000E+00,4.199735E-01,0.000000E+00,1.051596E+04,0.000000E+00,9.308480E-01
08:45:00,0.000000E+00,8.039097E+03,0.000000E+00,7.160656E-01,0.000000E+00,8.980532E+03,0.000000E+00,7.973668E-01,0.000000E+00,8.496043E+03,0.000000E+00,7.551645E-01,0.000000E+00,7.443937E+03,0.000000E+00,6.579068E-01,0.000000E+00,1.597514E+04,0.000000E+00,1.462164E+00
09:00:00,0.000000E+00,1.063236E+04,0.000000E+00,9.696283E-01,0.000000E+00,1.197848E+04,0.000000E+00,1.090176E+00,0.000000E+00,1.126676E+04,0.000000E+00,1.025930E+00,0.000000E+00,9.768902E+03,0.000000E+00,8.849861E-01,0.000000E+00,2.109574E+04,0.000000E+00,1.962815E+00
09:15:00,0.000000E+00,1.100691E+04,0.000000E+00,1.071830E+00,0.000000E+00,1.262842E+04,0.000000E+00,1.227380E+00,0.000000E+00,1.173653E+04,0.000000E+00,1.141720E+00,0.000000E+00,9.817144E+03,0.000000E+00,9.537006E-01,0.000000E+00,2.177847E+04,0.000000E+00,2.116044E+00
09:30:00,0.000000E+00,1.023954E+04,0.000000E+00,1.001162E+00,0.000000E+00,1.187809E+04,0.000000E+00,1.160189E+00,0.000000E+00,1.093749E+04,0.000000E+00,1.068846E+00,0.000000E+00,9.188021E+03,0.000000E+00,8.972986E-01,0.000000E+00,2.007571E+04,0.000000E+00,1.961993E+00
09:45:00,0.000000E+00,9.850495E+03,0.000000E+00,9.643629E-01,0.000000E+00,1.152516E+04,0.000000E+00,1.127723E+00,0.000000E+00,1.052569E+04,0.000000E+00,1.030199E+00,0.000000E+00,8.881887E+03,0.000000E+00,8.691632E-01,0.000000E+00,1.909875E+04,0.000000E+00,1.869831E+00
10:00:00,0.000000E+00,9.579801E+03,0.000000E+00,9.383816E-01,0.000000E+00,1.126530E+04,0.000000E+00,1.103192E+00,0.000000E+00,1.022194E+04,0.000000E+00,1.001157E+00,0.000000E+00,8.676226E+03,0.000000E+00,8.497457E-01,0.000000E+00,1.832774E+04,0.000000E+00,1.795359E+00
10:15:00,0.000000E+00,9.389255E+03,0.000000E+00,9.199329E-01,0.000000E+00,1.106252E+04,0.000000E+00,1.083731E+00,0.000000E+00,9.990395E+03,0.000000E+00,9.787727E-01,0.000000E+00,8.545027E+03,0.000000E+00,8.371774E-01,0.000000E+00,1.771636E+04,0.000000E+00,1.735771E+00
10:30:00,0.000000E+00,9.253313E+03,0.000000E+00,9.067034E-01,0.000000E+00,1.089531E+04,0.000000E+00,1.067526E+00,0.000000E+00,9.807687E+03,0.000000E+00,9.609969E-01,0.000000E+00,8.467159E+03,0.000000E+00,8.296601E-01,0.000000E+00,1.721829E+04,0.000000E+00,1.687061E+00
10:45:00,0.000000E+00,9.158873E+03,0.000000E+00,8.974871E-01,0.000000E+00,1.075386E+04,0.000000E+00,1.053744E+00,0.000000E+00,9.664943E+03,0.000000E+00,9.470632E-01,0.000000E+00,8.429848E+03,0.000000E+00,8.260486E-01,0.000000E+00,1.680396E+04,0.000000E+00,1.646490E+00
11:00:00,0.000000E+00,9.096398E+03,0.000000E+00,8.913810E-01,0.000000E+00,1.063443E+04,0.000000E+00,1.042076E+00,0.000000E+00,9.555872E+03,0.000000E+00,9.363982E-01,0.000000E+00,8.423723E+03,0.000000E+00,8.254665E-01,0.000000E+00,1.645477E+04,0.000000E+00,1.612284E+00
11:15:00,0.000000E+00,9.060011E+03,0.000000E+00,8.878224E-01,0.000000E+00,1.052648E+04,0.000000E+00,1.031512E+00,0.000000E+00,9.475796E+03,0.000000E+00,9.285614E-01,0.000000E+00,8.444070E+03,0.000000E+00,8.274678E-01,0.000000E+00,1.615659E+04,0.000000E+00,1.583071E+00
11:30:00,0.000000E+00,9.044068E+03,0.000000E+00,8.862633E-01,0.000000E+00,1.041816E+04,0.000000E+00,1.020905E+00,0.000000E+00,9.420470E+03,0.000000E+00,9.231446E-01,0.000000E+00,8.485460E+03,0.000000E+00,8.315271E-01,0.000000E+00,1.589905E+04,0.000000E+00,1.557837E+00
11:45:00,0.000000E+00,9.043634E+03,0.000000E+00,8.862224E-01,0.000000E+00,1.030363E+04,0.000000E+00,1.009685E+00,0.000000E+00,9.387404E+03,0.000000E+00,9.199068E-01,0.000000E+00,8.543418E+03,0.000000E+00,8.372081E-01,0.000000E+00,1.567436E+04,0.000000E+00,1.535823E+00
12:00:00,0.000000E+00,9.055109E+03,0.000000E+00,8.873478E-01,0.000000E+00,1.016879E+04,0.000000E+00,9.964732E-01,0.000000E+00,9.372327E+03,0.000000E+00,9.184308E-01,0.000000E+00,8.614242E+03,0.000000E+00,8.441492E-01,0.000000E+00,1.547530E+04,0.000000E+00,1.516318E+00
12:15:00,0.000000E+00,9.080341E+03,0.000000E+00,8.898210E-01,0.000000E+00,1.002445E+04,0.000000E+00,9.823298E-01,0.000000E+00,9.376880E+03,0.000000E+00,9.188778E-01,0.000000E+00,8.693024E+03,0.000000E+00,8.518698E-01,0.000000E+00,1.529783E+04,0.000000E+00,1.498930E+00
12:30:00,0.000000E+00,9.125229E+03,0.000000E+00,8.942201E-01,0.000000E+00,9.908288E+03,0.000000E+00,9.709473E-01,0.000000E+00,9.405519E+03,0.000000E+00,9.216849E-01,0.000000E+00,8.786765E+03,0.000000E+00,8.610560E-01,0.000000E+00,1.513798E+04,0.000000E+00,1.483268E+00
12:45:00,0.000000E+00,9.180385E+03,0.000000E+00,8.996255E-01,0.000000E+00,9.835389E+03,0.000000E+00,9.638047E-01,0.000000E+00,9.449523E+03,0.000000E+00,9.259977E-01,0.000000E+00,8.928193E+03,0.000000E+00,8.749152E-01,0.000000E+00,1.499321E+04,0.000000E+00,1.469083E+00
13:00:00,0.000000E+00,9.247119E+03,0.000000E+00,9.061652E-01,0.000000E+00,9.819399E+03,0.000000E+00,9.622390E-01,0.000000E+00,9.510047E+03,0.000000E+00,9.319290E-01,0.000000E+00,9.123414E+03,0.000000E+00,8.940461E-01,0.000000E+00,1.486201E+04,0.000000E+00,1.456229E+00
13:15:00,0.000000E+00,9.317111E+03,0.000000E+00,9.130242E-01,0.000000E+00,9.849571E+03,0.000000E+00,9.651969E-01,0.000000E+00,9.578388E+03,0.000000E+00,9.386263E-01,0.000000E+00,9.359783E+03,0.000000E+00,9.172093E-01,0.000000E+00,1.474250E+04,0.000000E+00,1.444519E+00
13:30:00,0.000000E+00,9.381590E+03,0.000000E+00,9.193427E-01,0.000000E+00,9.892279E+03,0.000000E+00,9.693831E-01,0.000000E+00,9.646632E+03,0.000000E+00,9.453140E-01,0.000000E+00,9.612357E+03,0.000000E+00,9.419603E-01,0.000000E+00,1.463395E+04,0.000000E+00,1.433883E+00
13:45:00,0.000000E+00,9.452046E+03,0.000000E+00,9.262469E-01,0.000000E+00,9.945914E+03,0.000000E+00,9.746396E-01,0.000000E+00,9.722199E+03,0.000000E+00,9.527190E-01,0.000000E+00,9.848818E+03,0.000000E+00,9.651316E-01,0.000000E+00,1.453541E+04,0.000000E+00,1.424228E+00
14:00:00,0.000000E+00,9.524515E+03,0.000000E+00,9.333484E-01,0.000000E+00,1.000409E+04,0.000000E+00,9.803404E-01,0.000000E+00,9.799446E+03,0.000000E+00,9.602888E-01,0.000000E+00,1.006300E+04,0.000000E+00,9.861191E-01,0.000000E+00,1.444597E+04,0.000000E+00,1.415465E+00
14:15:00,0.000000E+00,9.605187E+03,0.000000E+00,9.412536E-01,0.000000E+00,1.007258E+04,0.000000E+00,9.870521E-01,0.000000E+00,9.882078E+03,0.000000E+00,9.683860E-01,0.000000E+00,1.026551E+04,0.000000E+00,1.005963E+00,0.000000E+00,1.436467E+04,0.000000E+00,1.407499E+00
14:30:00,0.000000E+00,9.694828E+03,0.000000E+00,9.500378E-01,0.000000E+00,1.015189E+04,0.000000E+00,9.948243E-01,0.000000E+00,9.967514E+03,0.000000E+00,9.767581E-01,0.000000E+00,1.047079E+04,0.000000E+00,1.026077E+00,0.000000E+00,1.429030E+04,0.000000E+00,1.400212E+00
14:45:00,0.000000E+00,9.780865E+03,0.000000E+00,9.584688E-01,0.000000E+00,1.022899E+04,0.000000E+00,1.002380E+00,0.000000E+00,1.004917E+04,0.000000E+00,9.847594E-01,0.000000E+00,1.066257E+04,0.000000E+00,1.044870E+00,0.000000E+00,1.422090E+04,0.000000E+00,1.393412E+00
15:00:00,0.000000E+00,9.860057E+03,0.000000E+00,9.662289E-01,0.000000E+00,1.030018E+04,0.000000E+00,1.009356E+00,0.000000E+00,1.012588E+04,0.000000E+00,9.922769E-01,0.000000E+00,1.083284E+04,0.000000E+00,1.061554E+00,0.000000E+00,1.415428E+04,0.000000E+00,1.386885E+00
